world           face                  preset   px   wordmark ink bbox   cursor bbox         l ink bbox          aw baseline
Bombora         EB Garamond           block     24  (5, 11, 18, 15)     (16, 4, 19, 18)     (17, 12, 18, 15)    15
Bowerbird       IBM Plex Sans         pill     256  (37, 81, 220, 173)  (188, 49, 227, 196) (201, 81, 220, 171) 173
Bowerbird       IBM Plex Sans         pill     128  (18, 40, 109, 85)   (94, 24, 113, 98)   (101, 40, 109, 84)  85
Bowerbird       IBM Plex Sans         pill      64  (9, 19, 54, 42)     (47, 12, 56, 48)    (50, 19, 54, 41)    42
Bowerbird       IBM Plex Sans         pill      44  (6, 13, 37, 29)     (32, 7, 38, 33)     (35, 13, 37, 28)    29
Bowerbird       IBM Plex Sans         pill      32  (4, 10, 26, 21)     (23, 6, 27, 23)     (25, 10, 26, 19)    21
Bowerbird       IBM Plex Sans         pill      24  (3, 8, 19, 15)      (18, 4, 20, 18)     (19, 8, 19, 14)     15
Mulga           Zilla Slab            pill     256  (41, 86, 216, 172)  (184, 58, 222, 194) (190, 86, 216, 170) 172
Mulga           Zilla Slab            pill     128  (20, 43, 108, 85)   (92, 29, 111, 97)   (95, 43, 108, 84)   85
Mulga           Zilla Slab            pill      64  (10, 21, 53, 42)    (46, 14, 55, 47)    (47, 21, 53, 41)    42
Mulga           Zilla Slab            pill      44  (7, 14, 35, 29)     (32, 10, 37, 33)    (33, 14, 35, 27)    29
Mulga           Zilla Slab            pill      32  (5, 9, 26, 19)      (23, 6, 27, 23)     (24, 9, 26, 19)     19
Mulga           Zilla Slab            pill      24  (4, 4, 19, 14)      (17, 4, 20, 17)     (18, 4, 19, 4)      14
Mangrove        JetBrains Mono        block    256  (25, 82, 231, 173)  (166, 51, 236, 199) (168, 82, 231, 171) 173
Mangrove        JetBrains Mono        block    128  (12, 41, 115, 86)   (83, 25, 118, 100)  (84, 41, 115, 85)   86
Mangrove        JetBrains Mono        block     64  (6, 23, 57, 43)     (42, 12, 58, 49)    (48, 23, 57, 40)    43
Mangrove        JetBrains Mono        block     44  (4, 16, 39, 29)     (29, 8, 40, 34)     (33, 16, 39, 28)    29
Mangrove        JetBrains Mono        block     32  (3, 11, 28, 20)     (21, 6, 29, 25)     (24, 11, 28, 20)    20
Mangrove        JetBrains Mono        block     24  (2, 9, 18, 15)      (16, 4, 21, 18)     (18, 9, 18, 14)     15
Galah           Figtree               narrow   256  (40, 86, 211, 173)  (191, 58, 218, 195) (202, 86, 211, 171) 173
Galah           Figtree               narrow   128  (20, 43, 105, 86)   (88, 30, 109, 97)   (101, 43, 105, 85)  86
Galah           Figtree               narrow    64  (10, 20, 52, 42)    (45, 14, 54, 47)    (51, 20, 52, 41)    42
Galah           Figtree               narrow    44  (7, 14, 35, 29)     (30, 10, 37, 33)    (35, 14, 35, 28)    29
Galah           Figtree               narrow    32  (5, 10, 26, 20)     (24, 6, 26, 24)     (25, 10, 26, 20)    20
Galah           Figtree               narrow    24  (3, 7, 19, 14)      (17, 4, 21, 17)     (19, 7, 19, 14)     14
Magpie          Bitter                block    256  (35, 76, 223, 171)  (188, 59, 229, 196) (195, 76, 223, 170) 171
Magpie          Bitter                block    128  (17, 38, 111, 85)   (94, 30, 114, 97)   (97, 38, 111, 84)   85
Magpie          Bitter                block     64  (8, 19, 55, 43)     (47, 14, 57, 48)    (49, 19, 55, 42)    43
Magpie          Bitter                block     44  (6, 12, 38, 27)     (32, 9, 39, 33)     (34, 12, 38, 27)    27
Magpie          Bitter                block     32  (4, 8, 27, 19)      (24, 6, 28, 23)     (25, 8, 27, 19)     19
Magpie          Bitter                block     24  (3, 6, 20, 14)      (18, 4, 21, 17)     (19, 6, 20, 14)     14
Brolga          IBM Plex Sans         pill     256  (37, 81, 220, 173)  (188, 49, 227, 196) (201, 81, 220, 171) 173
Brolga          IBM Plex Sans         pill     128  (18, 40, 109, 85)   (94, 24, 113, 98)   (101, 40, 109, 84)  85
Brolga          IBM Plex Sans         pill      64  (9, 19, 54, 42)     (47, 12, 56, 48)    (50, 19, 54, 41)    42
Brolga          IBM Plex Sans         pill      44  (6, 13, 37, 29)     (32, 7, 38, 33)     (35, 13, 37, 28)    29
Brolga          IBM Plex Sans         pill      32  (4, 10, 26, 21)     (23, 6, 27, 23)     (25, 10, 26, 19)    21
Brolga          IBM Plex Sans         pill      24  (3, 8, 19, 15)      (18, 4, 20, 18)     (19, 8, 19, 14)     15
Wagtail         JetBrains Mono        block    256  (25, 82, 231, 173)  (166, 51, 236, 199) (168, 82, 231, 171) 173
Wagtail         JetBrains Mono        block    128  (12, 41, 115, 86)   (83, 25, 118, 100)  (84, 41, 115, 85)   86
Wagtail         JetBrains Mono        block     64  (6, 21, 57, 43)     (42, 12, 58, 49)    (42, 21, 57, 42)    43
Wagtail         JetBrains Mono        block     44  (4, 14, 39, 29)     (29, 8, 40, 34)     (33, 14, 39, 28)    29
Wagtail         JetBrains Mono        block     32  (3, 11, 28, 20)     (21, 6, 29, 25)     (24, 11, 28, 20)    20
Wagtail         JetBrains Mono        block     24  (2, 8, 18, 15)      (16, 4, 21, 18)     (16, 8, 18, 14)     15
Firetail        Monaspace Xenon       block    256  (21, 77, 233, 173)  (168, 58, 240, 188) (175, 77, 233, 171) 173
Firetail        Monaspace Xenon       block    128  (10, 38, 116, 85)   (84, 29, 119, 93)   (87, 38, 116, 84)   85
Firetail        Monaspace Xenon       block     64  (5, 19, 58, 43)     (42, 14, 59, 46)    (44, 19, 58, 42)    43
Firetail        Monaspace Xenon       block     44  (3, 13, 39, 29)     (29, 10, 40, 31)    (30, 13, 39, 28)    29
Firetail        Monaspace Xenon       block     32  (2, 9, 28, 21)      (21, 6, 29, 23)     (22, 9, 28, 20)     21
Firetail        Monaspace Xenon       block     24  (2, 8, 19, 15)      (16, 5, 22, 17)     (18, 8, 19, 14)     15
Cassowary       Iosevka               block    256  (43, 89, 213, 173)  (183, 66, 216, 196) (185, 89, 213, 172) 173
Cassowary       Iosevka               block    128  (22, 44, 106, 86)   (91, 32, 107, 97)   (93, 44, 106, 85)   86
Cassowary       Iosevka               block     64  (11, 23, 52, 44)    (46, 16, 53, 49)    (47, 23, 52, 43)    44
Cassowary       Iosevka               block     44  (7, 15, 35, 28)     (26, 11, 36, 33)    (33, 15, 35, 28)    28
Cassowary       Iosevka               block     32  (5, 11, 25, 20)     (19, 7, 26, 24)     (24, 11, 25, 20)    20
Cassowary       Iosevka               block     24  (4, 8, 18, 15)      (14, 5, 19, 17)     (18, 8, 18, 15)     15
Paperbark       EB Garamond           block    256  (52, 85, 205, 173)  (175, 51, 211, 198) (181, 85, 205, 170) 173
Paperbark       EB Garamond           block    128  (26, 42, 102, 86)   (88, 25, 105, 99)   (91, 42, 102, 84)   86
Paperbark       EB Garamond           block     64  (13, 22, 50, 43)    (44, 12, 52, 49)    (46, 22, 50, 42)    43
Paperbark       EB Garamond           block     44  (9, 14, 34, 29)     (30, 9, 35, 34)     (32, 14, 34, 28)    29
Paperbark       EB Garamond           block     32  (6, 9, 24, 20)      (22, 6, 25, 24)     (23, 9, 24, 19)     20
Paperbark       EB Garamond           block     24  (5, 8, 18, 15)      (16, 4, 19, 18)     (17, 8, 18, 15)     15
Kite            Fira Sans             block    256  (38, 79, 220, 172)  (184, 59, 226, 196) (198, 79, 220, 171) 172
Kite            Fira Sans             block    128  (19, 39, 109, 85)   (92, 30, 112, 97)   (99, 39, 109, 85)   85
Kite            Fira Sans             block     64  (9, 20, 54, 43)     (46, 14, 56, 48)    (50, 20, 54, 42)    43
Kite            Fira Sans             block     44  (6, 12, 37, 28)     (32, 9, 38, 33)     (34, 12, 37, 27)    28
Kite            Fira Sans             block     32  (4, 9, 25, 20)      (23, 6, 27, 23)     (25, 9, 25, 18)     20
Kite            Fira Sans             block     24  (3, 7, 19, 14)      (17, 4, 20, 17)     (19, 7, 19, 14)     14
